crate,config,lto,opt,panic,rule,n_fdes,n_gt_known,n_gt_excluded_unknown_or_conflict,coverage,ambiguous_fraction,predicted_author,predicted_dep,actual_author,actual_workspace,actual_dep,actual_std,tp_author,tp_dep,precision_author,precision_dep,recall_author_excl,recall_author_ambig_err,recall_dep_excl,recall_dep_ambig_err
oxker,lto-fat_opt-3_panic-abort,fat,3,abort,A@2,3840,3696,144,0.31145833333333334,0.0010416666666666667,2,1190,153,0,2000,1543,2,716,1.0,0.6016806722689075,0.013422818791946308,0.013071895424836602,0.358,0.358
oxker,lto-fat_opt-3_panic-abort,fat,3,abort,A@3,3840,3696,144,0.31145833333333334,0.0013020833333333333,1,1190,153,0,2000,1543,1,716,1.0,0.6016806722689075,0.006756756756756757,0.006535947712418301,0.358,0.358
oxker,lto-fat_opt-3_panic-abort,fat,3,abort,A@4,3840,3696,144,0.31145833333333334,0.0015625,0,1190,153,0,2000,1543,0,716,,0.6016806722689075,0.0,0.0,0.358,0.358
oxker,lto-fat_opt-3_panic-abort,fat,3,abort,A@5,3840,3696,144,0.31145833333333334,0.0015625,0,1190,153,0,2000,1543,0,716,,0.6016806722689075,0.0,0.0,0.358,0.358
oxker,lto-fat_opt-3_panic-abort,fat,3,abort,A@6,3840,3696,144,0.31145833333333334,0.0015625,0,1190,153,0,2000,1543,0,716,,0.6016806722689075,0.0,0.0,0.358,0.358
oxker,lto-fat_opt-3_panic-abort,fat,3,abort,B@1,3840,3696,144,0.31145833333333334,0.0,10,1186,153,0,2000,1543,10,716,1.0,0.6037099494097807,0.06535947712418301,0.06535947712418301,0.358,0.358
oxker,lto-fat_opt-3_panic-abort,fat,3,abort,B@2,3840,3696,144,0.31145833333333334,0.0013020833333333333,5,1186,153,0,2000,1543,5,716,1.0,0.6037099494097807,0.033783783783783786,0.032679738562091505,0.358,0.358
oxker,lto-fat_opt-3_panic-abort,fat,3,abort,B@3,3840,3696,144,0.31145833333333334,0.0018229166666666667,3,1186,153,0,2000,1543,3,716,1.0,0.6037099494097807,0.02054794520547945,0.0196078431372549,0.358,0.358
oxker,lto-fat_opt-3_panic-abort,fat,3,abort,B@4,3840,3696,144,0.31145833333333334,0.00234375,1,1186,153,0,2000,1543,1,716,1.0,0.6037099494097807,0.006944444444444444,0.006535947712418301,0.358,0.358
oxker,lto-fat_opt-3_panic-abort,fat,3,abort,B@5,3840,3696,144,0.31145833333333334,0.00234375,1,1186,153,0,2000,1543,1,716,1.0,0.6037099494097807,0.006944444444444444,0.006535947712418301,0.358,0.358
oxker,lto-fat_opt-3_panic-abort,fat,3,abort,B@6,3840,3696,144,0.31145833333333334,0.00234375,1,1186,153,0,2000,1543,1,716,1.0,0.6037099494097807,0.006944444444444444,0.006535947712418301,0.358,0.358
oxker,lto-fat_opt-3_panic-abort,fat,3,abort,C@0.10,3840,3696,144,0.31145833333333334,0.0,27,1169,153,0,2000,1543,25,714,0.9259259259259259,0.6107784431137725,0.16339869281045752,0.16339869281045752,0.357,0.357
oxker,lto-fat_opt-3_panic-abort,fat,3,abort,C@0.20,3840,3696,144,0.31145833333333334,0.0,23,1173,153,0,2000,1543,23,716,1.0,0.6104006820119352,0.1503267973856209,0.1503267973856209,0.358,0.358
oxker,lto-fat_opt-3_panic-abort,fat,3,abort,C@0.30,3840,3696,144,0.31145833333333334,0.0,18,1178,153,0,2000,1543,18,716,1.0,0.6078098471986417,0.11764705882352941,0.11764705882352941,0.358,0.358
oxker,lto-fat_opt-3_panic-abort,fat,3,abort,C@0.40,3840,3696,144,0.31145833333333334,0.0,17,1179,153,0,2000,1543,17,716,1.0,0.6072943172179813,0.1111111111111111,0.1111111111111111,0.358,0.358
oxker,lto-fat_opt-3_panic-abort,fat,3,abort,C@0.50,3840,3696,144,0.31145833333333334,0.0,17,1179,153,0,2000,1543,17,716,1.0,0.6072943172179813,0.1111111111111111,0.1111111111111111,0.358,0.358
oxker,lto-fat_opt-3_panic-abort,fat,3,abort,C@0.60,3840,3696,144,0.31145833333333334,0.0,14,1182,153,0,2000,1543,14,716,1.0,0.6057529610829103,0.0915032679738562,0.0915032679738562,0.358,0.358
oxker,lto-fat_opt-3_panic-abort,fat,3,abort,C@0.70,3840,3696,144,0.31145833333333334,0.0,12,1184,153,0,2000,1543,12,716,1.0,0.6047297297297297,0.0784313725490196,0.0784313725490196,0.358,0.358
oxker,lto-fat_opt-3_panic-abort,fat,3,abort,C@0.80,3840,3696,144,0.31145833333333334,0.0,10,1186,153,0,2000,1543,10,716,1.0,0.6037099494097807,0.06535947712418301,0.06535947712418301,0.358,0.358
oxker,lto-fat_opt-3_panic-abort,fat,3,abort,C@0.90,3840,3696,144,0.31145833333333334,0.0,6,1190,153,0,2000,1543,6,716,1.0,0.6016806722689075,0.0392156862745098,0.0392156862745098,0.358,0.358
oxker,lto-fat_opt-3_panic-unwind,fat,3,unwind,A@1,4546,4399,147,0.24879014518257808,0.0,7,1124,166,0,2024,2209,7,714,1.0,0.6352313167259787,0.04216867469879518,0.04216867469879518,0.35276679841897235,0.35276679841897235
oxker,lto-fat_opt-3_panic-unwind,fat,3,unwind,A@2,4546,4399,147,0.24879014518257808,0.0010998680158380994,2,1124,166,0,2024,2209,2,714,1.0,0.6352313167259787,0.012422360248447204,0.012048192771084338,0.35276679841897235,0.35276679841897235
oxker,lto-fat_opt-3_panic-unwind,fat,3,unwind,A@3,4546,4399,147,0.24879014518257808,0.0013198416190057193,1,1124,166,0,2024,2209,1,714,1.0,0.6352313167259787,0.00625,0.006024096385542169,0.35276679841897235,0.35276679841897235
oxker,lto-fat_opt-3_panic-unwind,fat,3,unwind,A@4,4546,4399,147,0.24879014518257808,0.0015398152221733391,0,1124,166,0,2024,2209,0,714,,0.6352313167259787,0.0,0.0,0.35276679841897235,0.35276679841897235
oxker,lto-fat_opt-3_panic-unwind,fat,3,unwind,A@5,4546,4399,147,0.24879014518257808,0.0015398152221733391,0,1124,166,0,2024,2209,0,714,,0.6352313167259787,0.0,0.0,0.35276679841897235,0.35276679841897235
oxker,lto-fat_opt-3_panic-unwind,fat,3,unwind,A@6,4546,4399,147,0.24879014518257808,0.0015398152221733391,0,1124,166,0,2024,2209,0,714,,0.6352313167259787,0.0,0.0,0.35276679841897235,0.35276679841897235
oxker,lto-fat_opt-3_panic-unwind,fat,3,unwind,B@1,4546,4399,147,0.24879014518257808,0.0,14,1117,166,0,2024,2209,14,714,1.0,0.639212175470009,0.08433734939759036,0.08433734939759036,0.35276679841897235,0.35276679841897235
oxker,lto-fat_opt-3_panic-unwind,fat,3,unwind,B@2,4546,4399,147,0.24879014518257808,0.0013198416190057193,8,1117,166,0,2024,2209,8,714,1.0,0.639212175470009,0.05,0.04819277108433735,0.35276679841897235,0.35276679841897235
oxker,lto-fat_opt-3_panic-unwind,fat,3,unwind,B@3,4546,4399,147,0.24879014518257808,0.001979762428508579,5,1117,166,0,2024,2209,5,714,1.0,0.639212175470009,0.03184713375796178,0.030120481927710843,0.35276679841897235,0.35276679841897235
oxker,lto-fat_opt-3_panic-unwind,fat,3,unwind,B@4,4546,4399,147,0.24879014518257808,0.002419709634843819,3,1117,166,0,2024,2209,3,714,1.0,0.639212175470009,0.01935483870967742,0.018072289156626505,0.35276679841897235,0.35276679841897235
oxker,lto-fat_opt-3_panic-unwind,fat,3,unwind,B@5,4546,4399,147,0.24879014518257808,0.0026396832380114386,2,1117,166,0,2024,2209,2,714,1.0,0.639212175470009,0.012987012987012988,0.012048192771084338,0.35276679841897235,0.35276679841897235
oxker,lto-fat_opt-3_panic-unwind,fat,3,unwind,B@6,4546,4399,147,0.24879014518257808,0.0026396832380114386,2,1117,166,0,2024,2209,2,714,1.0,0.639212175470009,0.012987012987012988,0.012048192771084338,0.35276679841897235,0.35276679841897235
oxker,lto-fat_opt-3_panic-unwind,fat,3,unwind,C@0.10,4546,4399,147,0.24879014518257808,0.0,28,1103,166,0,2024,2209,28,714,1.0,0.6473254759746147,0.1686746987951807,0.1686746987951807,0.35276679841897235,0.35276679841897235
oxker,lto-fat_opt-3_panic-unwind,fat,3,unwind,C@0.20,4546,4399,147,0.24879014518257808,0.0,25,1106,166,0,2024,2209,25,714,1.0,0.6455696202531646,0.15060240963855423,0.15060240963855423,0.35276679841897235,0.35276679841897235
oxker,lto-fat_opt-3_panic-unwind,fat,3,unwind,C@0.30,4546,4399,147,0.24879014518257808,0.0,21,1110,166,0,2024,2209,21,714,1.0,0.6432432432432432,0.12650602409638553,0.12650602409638553,0.35276679841897235,0.35276679841897235
oxker,lto-fat_opt-3_panic-unwind,fat,3,unwind,C@0.40,4546,4399,147,0.24879014518257808,0.0,19,1112,166,0,2024,2209,19,714,1.0,0.6420863309352518,0.1144578313253012,0.1144578313253012,0.35276679841897235,0.35276679841897235
oxker,lto-fat_opt-3_panic-unwind,fat,3,unwind,C@0.50,4546,4399,147,0.24879014518257808,0.0,18,1113,166,0,2024,2209,18,714,1.0,0.6415094339622641,0.10843373493975904,0.10843373493975904,0.35276679841897235,0.35276679841897235
