crate,config,sha256,fde_source,n_fdes,n_locations,n_strings_emitted,n_relative_relocs,addr_order_strict,gt_present,gt_n_functions,gt_authorship_error,gt_author_crates,gt_mangling,n_rows,n_labeled,n_author,n_dep,n_std,n_workspace
hwatch,lto-thin_opt-3_panic-unwind,27557d7c3a718a0c9e8aabe329a2c55213e608b8aaf98af80b4463cd34fe9ae6,eh_frame,3844,2105,335,11031,True,True,3844,,['hwatch'],v0,3844,3631,131,1547,1941,12
jnv,cgu-16_lto-false_opt-3_panic-unwind,2051b3bb0b0b3e005fbda0841c148d483e600c39d6e984040e155ed97866aa4e,eh_frame,8270,2034,357,7428,True,True,8270,,['jnv'],v0,8270,7981,117,3246,4618,0
jnv,lto-thin_opt-3_panic-unwind,66bf8b226749e2b35061e1f729efb55a8a01502b6d011a712c68b27a002db6a7,eh_frame,5477,1764,353,6208,True,True,5477,,['jnv'],v0,5477,5262,73,2242,2947,0
komac,cgu-16_lto-false_opt-3_panic-unwind,da5e9f7a6cb01e26599f47a304380e38bf81b33af4f5494185afc38b8b78d8aa,eh_frame,32384,5757,832,66196,True,True,32384,,['komac'],v0,32384,19570,594,9141,9835,0
komac,lto-thin_opt-3_panic-unwind,712163b703e744b80621665470d4e84fbe3f07c2bce62da8ba169f7a6a546cd1,eh_frame,24191,5137,809,58019,True,True,24191,,['komac'],v0,24191,12036,345,5942,5749,0
maturin,cgu-16_lto-false_opt-3_panic-unwind,1de53f89e4d6e2ea5a6907bef46e009e4a99715beff1940d5c6eea09c697d114,eh_frame,35465,6347,912,49702,True,True,35465,,['maturin'],v0,35465,33579,629,14832,18118,0
maturin,lto-thin_opt-3_panic-unwind,1d6b61094be0db8eb75921be69298214fbab71dea85fa713e8866b6bc1753fae,eh_frame,22295,5669,901,37564,True,True,22295,,['maturin'],v0,22295,20807,551,10603,9653,0
mise,cgu-16_lto-false_opt-3_panic-unwind,43bf0f256e972eb7c5442c400265a346bde409c2ba28f31be94825900ee04f55,eh_frame,137532,31631,2727,239352,True,True,137532,,['mise'],v0,137532,130352,11924,52567,64894,967
mise,lto-thin_opt-3_panic-unwind,7587d07ecc4df65673dd3a0adbfb633b8cbfcf72a36736e2093ede812e26b428,eh_frame,83438,24130,2628,205029,True,True,83438,,['mise'],v0,83438,77543,9143,34231,33448,721
monolith,cgu-16_lto-false_opt-3_panic-unwind,cdd41e2f55aac1ce384a7738209a58c855569fd193ed6422c6fc0af3c4ff5a75,eh_frame,17239,3339,372,45091,True,True,17239,,"['monolith', 'monolith_gui']",v0,17239,6499,55,2959,3485,0
monolith,lto-thin_opt-3_panic-unwind,7d59d0f5a558ebf9e9d1e86ed3d8f792ec364e61fc1186f49d7c8e570dd06c66,eh_frame,14793,3058,366,43746,True,True,14793,,"['monolith', 'monolith_gui']",v0,14793,4130,58,1973,2099,0
nushell,cgu-16_lto-false_opt-3_panic-unwind,391943d4c31e32a9a6e94e88bc29517abf9d333051b9ae6bc64967eb1cc83821,eh_frame,91090,16188,1556,161089,True,True,91090,,['nu'],legacy,91090,79403,54,28542,38657,12150
nushell,lto-thin_opt-3_panic-unwind,11cf229536062fb97a9852f3b9a0277d1fb4bf25122032928b864e1a605088d7,eh_frame,55986,14001,1519,130133,True,True,55986,,['nu'],legacy,55986,46722,49,18768,19538,8367
protofetch,cgu-16_lto-false_opt-3_panic-unwind,e6b5b382d373ad8b4cd691fa38f9098851761ff8e9ea842e7dfee6ee0edde2fc,eh_frame,6066,983,203,4625,True,True,6066,,['protofetch'],legacy,6066,3806,155,1156,2495,0
